name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,2022-01-01,77.5,65.8,72,77.5,65.8,72,64.6,78.3,0.031,100,16.67,rain,0,0,30.7,15.8,210,1010.8,92.7,9.7,67.4,5.7,3,,2022-01-01T07:42:34,2022-01-01T17:40:05,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-02,73.1,56.1,63.4,73.1,56.1,63.4,59.3,87.3,0.567,100,54.17,rain,0,0,33.7,17.6,214.8,1008.8,97.5,8.4,26.8,2.4,1,,2022-01-02T07:42:44,2022-01-02T17:40:51,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-03,51.1,31.3,37.7,51.1,23.8,29.3,31.1,77.6,0.377,100,33.33,"rain,snow",0,0,44.5,26.4,310.4,1019.8,63.7,9.2,82.9,7.2,5,,2022-01-03T07:42:53,2022-01-03T17:41:37,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"0536W,KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-04,50.2,29.4,39.2,50.2,25.2,35.8,26.9,64.4,0,0,0,,0,0,21.9,11.3,109,1026.3,16.8,9.9,116.7,10.2,5,,2022-01-04T07:43:01,2022-01-04T17:42:25,0.06,Clear,Clear conditions throughout the day.,clear-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-05,56.3,41.3,47.5,56.3,40.9,46.9,38.3,71,0,0,0,,0,0,19.7,9.7,283.1,1017.9,64.9,9.6,80.3,6.9,4,,2022-01-05T07:43:06,2022-01-05T17:43:14,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-06,62,36.7,45.7,62,27.7,43.9,40.7,83.7,0.069,100,12.5,rain,0,0,31,18.5,285.9,1014,63.5,7.6,70.6,6.1,4,,2022-01-06T07:43:09,2022-01-06T17:44:04,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTY,0349W,F6303,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-07,39.3,27.2,33.3,35.3,17.1,26.3,19,57.3,0,0,0,,0,0,28.9,14.4,322.8,1023.9,30.4,9.9,109.2,9.4,5,,2022-01-07T07:43:11,2022-01-07T17:44:54,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-08,51.5,28.8,39.2,51.5,22.6,35.4,21.6,51,0,0,0,,0,0,18.3,10.7,87,1031.5,16.2,9.9,113,9.8,5,,2022-01-08T07:43:11,2022-01-08T17:45:46,0.19,Clear,Clear conditions throughout the day.,clear-day,"KFTY,0349W,72219013874,0353W,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-09,62.5,43.3,50.4,62.5,38.1,48.4,43.2,76.8,0.482,100,33.33,rain,0,0,28.5,11,112.1,1026.3,99,8.8,42.5,3.8,3,,2022-01-09T07:43:09,2022-01-09T17:46:38,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"C2468,KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-10,50.4,34.8,42.9,50.4,26.6,37.5,22,47.1,0,0,0,,0,0,29.1,16.3,330.5,1027.8,21.3,9.9,119.2,10.4,5,10,2022-01-10T07:43:05,2022-01-10T17:47:31,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-11,50.2,30.1,39.5,50.2,25.2,36.1,17.2,41.4,0,0,0,,0,0,29.1,17.6,357.1,1031.7,0,9.9,115.8,9.8,5,10,2022-01-11T07:42:59,2022-01-11T17:48:25,0.29,Clear,Clear conditions throughout the day.,clear-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-12,54.2,29.8,40.3,54.2,28.2,40,24.2,55.6,0,0,0,,0,0,8.9,5.1,227.9,1027,14.4,9.9,113,9.7,5,10,2022-01-12T07:42:52,2022-01-12T17:49:19,0.33,Clear,Clear conditions throughout the day.,clear-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-13,57.8,34.6,45.7,57.8,34.6,45.2,31.1,59.2,0,0,0,,0,0,27.5,15.9,281.7,1015.7,44.5,9.9,92.2,8,4,10,2022-01-13T07:42:43,2022-01-13T17:50:14,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-14,54.7,38.2,45.1,54.7,33.3,42.4,32.7,63.5,0,0,0,,0,0,23,12.9,322.6,1014.8,22.1,9.9,116.7,9.9,5,10,2022-01-14T07:42:31,2022-01-14T17:51:10,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2022-01-15,46.8,38.3,42.4,42.8,32.9,38.5,33.2,70.2,0.067,100,12.5,rain,0,0,24.2,13.9,74.7,1016.9,71,9.7,39.6,3.3,2,10,2022-01-15T07:42:18,2022-01-15T17:52:06,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,0349W,72219013874,KATL,72219503888,72219653863,KPDK"
