datetime,tempmax,tempmin,temp mean,precip (inches),precipprob,preciptype,snow (inches),conditions
1/1/22,60.4,39.7,49,0.55,100,rain,0,"Rain, Overcast"
1/2/22,38.4,24.5,29.6,0.032,100,"rain,snow",0,"Snow, Rain, Partially cloudy"
1/3/22,30.2,21.8,25.1,0,0,,0,Partially cloudy
1/4/22,41.3,22.3,30.7,0,0,,0,Partially cloudy
1/5/22,39.7,15.1,30.1,0,0,,0,Partially cloudy
1/6/22,17.9,10,14.8,0,0,,0,Partially cloudy
1/7/22,19,3.2,11.2,0,0,,0,Partially cloudy
1/8/22,39,15.5,24.6,0.067,100,"rain,snow",0,"Snow, Rain, Partially cloudy"
1/9/22,42.4,19.4,33.7,0.273,100,rain,0,"Rain, Partially cloudy"
1/10/22,28,13.3,19.6,0,0,,0,Partially cloudy
1/11/22,33.1,10.4,21.6,0,0,,0,Clear
1/12/22,46.8,33.2,38.8,0,0,,0,Partially cloudy
1/13/22,44,29.6,35.3,0,0,,0,Partially cloudy
1/14/22,35.9,30.3,33,0,0,,0.2,Overcast
1/15/22,33.1,19.9,25.7,0.029,100,snow,0.1,"Snow, Partially cloudy"
1/16/22,36.3,16,24.5,0,0,snow,0,Clear
1/17/22,27.4,23.4,25.7,0,0,snow,0,Overcast
1/18/22,43.8,22.9,32.8,0,0,,0,Partially cloudy
1/19/22,44,20.5,35.3,0,0,,0,Partially cloudy
1/20/22,23.5,13.4,19.4,0,0,,0,Partially cloudy
1/21/22,25.4,16,19.9,0,0,,0,Partially cloudy
1/22/22,32,12.4,21.5,0,0,,0,Partially cloudy
1/23/22,34.4,21.6,27,0.011,100,snow,0.2,"Snow, Partially cloudy"
1/24/22,37.9,22.1,28.7,0.006,100,"rain,snow",0,"Snow, Rain, Overcast"
1/25/22,24.2,9.4,16.7,0,0,,0,Partially cloudy
1/26/22,20.4,0.4,10.2,0,0,,0,Clear
1/27/22,30,11.5,22.8,0.006,100,snow,0,"Snow, Partially cloudy"
1/28/22,29.9,8.5,22.2,0.012,100,snow,0.2,"Snow, Partially cloudy"
1/29/22,25.6,3.8,15,0,0,,0.1,Partially cloudy
1/30/22,36,17.4,25.9,0,0,,0,Partially cloudy
1/31/22,38.4,17.5,28.4,0,0,,0,Partially cloudy
2/1/22,57.9,31.4,45,0,0,,0,Partially cloudy
2/2/22,50.6,26.5,38.6,1.163,100,"rain,freezingrain,snow",0.6,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast"
2/3/22,26.9,20,22.2,0.346,100,snow,2.3,"Snow, Overcast"
2/4/22,20.9,12.7,17.9,0.007,100,snow,1,"Snow, Partially cloudy"
2/5/22,20.4,2.9,13.8,0,0,snow,0,Partially cloudy
2/6/22,37.1,12.9,23.7,0,0,,0,Clear
2/7/22,25.8,13.1,21.4,0,0,,0,Partially cloudy
2/8/22,45.7,9.7,28.3,0,0,,0,Partially cloudy
2/9/22,45.7,36.4,40.4,0,0,rain,0,Partially cloudy
2/10/22,37.2,28.2,33,0,0,snow,0,Partially cloudy
2/11/22,44.6,30,37.6,0.078,100,rain,0,"Rain, Partially cloudy"
2/12/22,34,17.4,24.2,0.003,100,snow,0.1,"Snow, Overcast"
2/13/22,20.4,11.4,16.8,0.012,100,snow,0.1,"Snow, Partially cloudy"
2/14/22,27.5,10.4,18.4,0,0,,0,Partially cloudy
2/15/22,45.3,18.6,31.8,0,0,,0,Partially cloudy
2/16/22,59.3,43.8,52.9,0,0,rain,0,Partially cloudy
2/17/22,60,27,43.6,1.471,100,"rain,snow,ice",0.4,"Snow, Rain, Ice, Overcast"
2/18/22,31.3,15.6,24.1,0,0,snow,0,Partially cloudy
2/19/22,33.5,19.1,23.8,0,0,,0,Clear
2/20/22,55.9,19.1,38,0,0,,0,Clear
2/21/22,61.7,35.6,50.3,0,0,rain,0,Partially cloudy
2/22/22,61.4,31.4,52.1,0.532,100,rain,0,"Rain, Overcast"
2/23/22,30.3,23.6,25.6,0,0,snow,0,Overcast
2/24/22,31.3,25.1,28.5,0.219,100,"freezingrain,snow,ice",0.7,"Snow, Freezing Drizzle/Freezing Rain, Ice, Overcast"
2/25/22,30.4,24.6,27.7,0.007,100,"rain,freezingrain,snow",0,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast"
2/26/22,35.3,23.5,27.7,0,0,,0,Partially cloudy
2/27/22,46.9,22.6,34.2,0,0,,0,Clear
