date,holiday,hasHoliday,daysUntilNext
2022-01-01,New Year's Day,1,0
2022-01-02,,0,15
2022-01-03,,0,14
2022-01-04,,0,13
2022-01-05,,0,12
2022-01-06,,0,11
2022-01-07,,0,10
2022-01-08,,0,9
2022-01-09,,0,8
2022-01-10,,0,7
2022-01-11,,0,6
2022-01-12,,0,5
2022-01-13,,0,4
2022-01-14,,0,3
2022-01-15,,0,2
2022-01-16,,0,1
2022-01-17,Martin Luther King Jr. Day,1,0
2022-01-18,,0,34
2022-01-19,,0,33
2022-01-20,,0,32
2022-01-21,,0,31
2022-01-22,,0,30
2022-01-23,,0,29
2022-01-24,,0,28
2022-01-25,,0,27
2022-01-26,,0,26
2022-01-27,,0,25
2022-01-28,,0,24
2022-01-29,,0,23
2022-01-30,,0,22
2022-01-31,,0,21
2022-02-01,,0,20
2022-02-02,,0,19
2022-02-03,,0,18
2022-02-04,,0,17
2022-02-05,,0,16
2022-02-06,,0,15
2022-02-07,,0,14
2022-02-08,,0,13
2022-02-09,,0,12
2022-02-10,,0,11
2022-02-11,,0,10
2022-02-12,,0,9
2022-02-13,,0,8
2022-02-14,,0,7
2022-02-15,,0,6
2022-02-16,,0,5
2022-02-17,,0,4
2022-02-18,,0,3
2022-02-19,,0,2
2022-02-20,,0,1
2022-02-21,Washington's Birthday,1,0
2022-02-22,,0,97
2022-02-23,,0,96
2022-02-24,,0,95
2022-02-25,,0,94
2022-02-26,,0,93
2022-02-27,,0,92
2022-02-28,,0,91
2022-03-01,,0,90
2022-03-02,,0,89
2022-03-03,,0,88
2022-03-04,,0,87
2022-03-05,,0,86
2022-03-06,,0,85
2022-03-07,,0,84
2022-03-08,,0,83
2022-03-09,,0,82
2022-03-10,,0,81
2022-03-11,,0,80
2022-03-12,,0,79
2022-03-13,,0,78
2022-03-14,,0,77
2022-03-15,,0,76
2022-03-16,,0,75
2022-03-17,,0,74
2022-03-18,,0,73
2022-03-19,,0,72
2022-03-20,,0,71
2022-03-21,,0,70
2022-03-22,,0,69
2022-03-23,,0,68
2022-03-24,,0,67
2022-03-25,,0,66
2022-03-26,,0,65
2022-03-27,,0,64
2022-03-28,,0,63
2022-03-29,,0,62
2022-03-30,,0,61
2022-03-31,,0,60
2022-04-01,,0,59
2022-04-02,,0,58
2022-04-03,,0,57
2022-04-04,,0,56
2022-04-05,,0,55
2022-04-06,,0,54
2022-04-07,,0,53
2022-04-08,,0,52
2022-04-09,,0,51
2022-04-10,,0,50
2022-04-11,,0,49
2022-04-12,,0,48
2022-04-13,,0,47
2022-04-14,,0,46
2022-04-15,,0,45
2022-04-16,,0,44
2022-04-17,,0,43
2022-04-18,,0,42
2022-04-19,,0,41
2022-04-20,,0,40
2022-04-21,,0,39
2022-04-22,,0,38
2022-04-23,,0,37
2022-04-24,,0,36
2022-04-25,,0,35
2022-04-26,,0,34
2022-04-27,,0,33
2022-04-28,,0,32
2022-04-29,,0,31
2022-04-30,,0,30
2022-05-01,,0,29
2022-05-02,,0,28
2022-05-03,,0,27
2022-05-04,,0,26
2022-05-05,,0,25
2022-05-06,,0,24
2022-05-07,,0,23
2022-05-08,,0,22
2022-05-09,,0,21
2022-05-10,,0,20
2022-05-11,,0,19
2022-05-12,,0,18
2022-05-13,,0,17
2022-05-14,,0,16
2022-05-15,,0,15
2022-05-16,,0,14
2022-05-17,,0,13
2022-05-18,,0,12
2022-05-19,,0,11
2022-05-20,,0,10
2022-05-21,,0,9
2022-05-22,,0,8
2022-05-23,,0,7
2022-05-24,,0,6
2022-05-25,,0,5
2022-05-26,,0,4
2022-05-27,,0,3
2022-05-28,,0,2
2022-05-29,,0,1
2022-05-30,Memorial Day,1,0
2022-05-31,,0,19
2022-06-01,,0,18
2022-06-02,,0,17
2022-06-03,,0,16
2022-06-04,,0,15
2022-06-05,,0,14
2022-06-06,,0,13
2022-06-07,,0,12
2022-06-08,,0,11
2022-06-09,,0,10
2022-06-10,,0,9
2022-06-11,,0,8
2022-06-12,,0,7
2022-06-13,,0,6
2022-06-14,,0,5
2022-06-15,,0,4
2022-06-16,,0,3
2022-06-17,,0,2
2022-06-18,,0,1
2022-06-19,Juneteenth National Independence Day,1,0
2022-06-20,Juneteenth National Independence Day (Observed),1,0
2022-06-21,,0,13
2022-06-22,,0,12
2022-06-23,,0,11
2022-06-24,,0,10
2022-06-25,,0,9
2022-06-26,,0,8
2022-06-27,,0,7
2022-06-28,,0,6
2022-06-29,,0,5
2022-06-30,,0,4
2022-07-01,,0,3
2022-07-02,,0,2
2022-07-03,,0,1
2022-07-04,Independence Day,1,0
2022-07-05,,0,62
2022-07-06,,0,61
2022-07-07,,0,60
2022-07-08,,0,59
2022-07-09,,0,58
2022-07-10,,0,57
2022-07-11,,0,56
2022-07-12,,0,55
2022-07-13,,0,54
2022-07-14,,0,53
2022-07-15,,0,52
2022-07-16,,0,51
2022-07-17,,0,50
2022-07-18,,0,49
2022-07-19,,0,48
2022-07-20,,0,47
2022-07-21,,0,46
2022-07-22,,0,45
2022-07-23,,0,44
2022-07-24,,0,43
2022-07-25,,0,42
2022-07-26,,0,41
2022-07-27,,0,40
2022-07-28,,0,39
2022-07-29,,0,38
2022-07-30,,0,37
2022-07-31,,0,36
2022-08-01,,0,35
2022-08-02,,0,34
2022-08-03,,0,33
2022-08-04,,0,32
2022-08-05,,0,31
2022-08-06,,0,30
2022-08-07,,0,29
2022-08-08,,0,28
2022-08-09,,0,27
2022-08-10,,0,26
2022-08-11,,0,25
2022-08-12,,0,24
2022-08-13,,0,23
2022-08-14,,0,22
2022-08-15,,0,21
2022-08-16,,0,20
2022-08-17,,0,19
2022-08-18,,0,18
2022-08-19,,0,17
2022-08-20,,0,16
2022-08-21,,0,15
2022-08-22,,0,14
2022-08-23,,0,13
2022-08-24,,0,12
2022-08-25,,0,11
2022-08-26,,0,10
2022-08-27,,0,9
2022-08-28,,0,8
2022-08-29,,0,7
2022-08-30,,0,6
2022-08-31,,0,5
2022-09-01,,0,4
2022-09-02,,0,3
2022-09-03,,0,2
2022-09-04,,0,1
2022-09-05,Labor Day,1,0
2022-09-06,,0,34
2022-09-07,,0,33
2022-09-08,,0,32
2022-09-09,,0,31
2022-09-10,,0,30
2022-09-11,,0,29
2022-09-12,,0,28
2022-09-13,,0,27
2022-09-14,,0,26
2022-09-15,,0,25
2022-09-16,,0,24
2022-09-17,,0,23
2022-09-18,,0,22
2022-09-19,,0,21
2022-09-20,,0,20
2022-09-21,,0,19
2022-09-22,,0,18
2022-09-23,,0,17
2022-09-24,,0,16
2022-09-25,,0,15
2022-09-26,,0,14
2022-09-27,,0,13
2022-09-28,,0,12
2022-09-29,,0,11
2022-09-30,,0,10
2022-10-01,,0,9
2022-10-02,,0,8
2022-10-03,,0,7
2022-10-04,,0,6
2022-10-05,,0,5
2022-10-06,,0,4
2022-10-07,,0,3
2022-10-08,,0,2
2022-10-09,,0,1
2022-10-10,Columbus Day,1,0
2022-10-11,,0,31
2022-10-12,,0,30
2022-10-13,,0,29
2022-10-14,,0,28
2022-10-15,,0,27
2022-10-16,,0,26
2022-10-17,,0,25
2022-10-18,,0,24
2022-10-19,,0,23
2022-10-20,,0,22
2022-10-21,,0,21
2022-10-22,,0,20
2022-10-23,,0,19
2022-10-24,,0,18
2022-10-25,,0,17
2022-10-26,,0,16
2022-10-27,,0,15
2022-10-28,,0,14
2022-10-29,,0,13
2022-10-30,,0,12
2022-10-31,,0,11
2022-11-01,,0,10
2022-11-02,,0,9
2022-11-03,,0,8
2022-11-04,,0,7
2022-11-05,,0,6
2022-11-06,,0,5
2022-11-07,,0,4
2022-11-08,,0,3
2022-11-09,,0,2
2022-11-10,,0,1
2022-11-11,Veterans Day,1,0
2022-11-12,,0,12
2022-11-13,,0,11
2022-11-14,,0,10
2022-11-15,,0,9
2022-11-16,,0,8
2022-11-17,,0,7
2022-11-18,,0,6
2022-11-19,,0,5
2022-11-20,,0,4
2022-11-21,,0,3
2022-11-22,,0,2
2022-11-23,,0,1
2022-11-24,Thanksgiving,1,0
2022-11-25,,0,30
2022-11-26,,0,29
2022-11-27,,0,28
2022-11-28,,0,27
2022-11-29,,0,26
2022-11-30,,0,25
2022-12-01,,0,24
2022-12-02,,0,23
2022-12-03,,0,22
2022-12-04,,0,21
2022-12-05,,0,20
2022-12-06,,0,19
2022-12-07,,0,18
2022-12-08,,0,17
2022-12-09,,0,16
2022-12-10,,0,15
2022-12-11,,0,14
2022-12-12,,0,13
2022-12-13,,0,12
2022-12-14,,0,11
2022-12-15,,0,10
2022-12-16,,0,9
2022-12-17,,0,8
2022-12-18,,0,7
2022-12-19,,0,6
2022-12-20,,0,5
2022-12-21,,0,4
2022-12-22,,0,3
2022-12-23,,0,2
2022-12-24,,0,1
2022-12-25,Christmas Day,1,0
2022-12-26,Christmas Day (Observed),1,0
2022-12-27,,0,5
2022-12-28,,0,4
2022-12-29,,0,3
2022-12-30,,0,2
2022-12-31,,0,1
2023-01-01,New Year's Day,1,0
2023-01-02,New Year's Day (Observed),1,0
2023-01-03,,0,13
2023-01-04,,0,12
2023-01-05,,0,11
2023-01-06,,0,10
2023-01-07,,0,9
2023-01-08,,0,8
2023-01-09,,0,7
2023-01-10,,0,6
2023-01-11,,0,5
2023-01-12,,0,4
2023-01-13,,0,3
2023-01-14,,0,2
2023-01-15,,0,1
2023-01-16,Martin Luther King Jr. Day,1,0
2023-01-17,,0,34
2023-01-18,,0,33
2023-01-19,,0,32
2023-01-20,,0,31
2023-01-21,,0,30
2023-01-22,,0,29
2023-01-23,,0,28
2023-01-24,,0,27
2023-01-25,,0,26
2023-01-26,,0,25
2023-01-27,,0,24
2023-01-28,,0,23
2023-01-29,,0,22
2023-01-30,,0,21
2023-01-31,,0,20
2023-02-01,,0,19
2023-02-02,,0,18
2023-02-03,,0,17
2023-02-04,,0,16
2023-02-05,,0,15
2023-02-06,,0,14
2023-02-07,,0,13
2023-02-08,,0,12
2023-02-09,,0,11
2023-02-10,,0,10
2023-02-11,,0,9
2023-02-12,,0,8
2023-02-13,,0,7
2023-02-14,,0,6
2023-02-15,,0,5
2023-02-16,,0,4
